,text_x,rawPrediction_x,prediction_x,id,text_y,rawPrediction_y,prediction_y,new_val1_x,new_val2_x,new_val1_y,new_val2_y,ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word
12,Alonzo feels scared.,"[1.1883767559140832,-1.1883767559140832]",0.0,13,Alonzo feels scared.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-06025,Alonzo feels scared.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,scared
13,Alonzo feels anxious.,"[1.1883767559140832,-1.1883767559140832]",0.0,14,Alonzo feels anxious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-08856,Alonzo feels anxious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,anxious
14,Alonzo feels fearful.,"[3.134145762070725,-3.134145762070725]",0.0,15,Alonzo feels fearful.,"[8.655600213356383,11.344399786643615]",1.0,3.134145762070725,8.655600213356383,0.7203369814244036,1.0,2018-En-mystery-04209,Alonzo feels fearful.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,fearful
15,Alonzo feels happy.,"[-1.7646036321528533,1.7646036321528533]",1.0,16,Alonzo feels happy.,"[8.655600213356383,11.344399786643615]",1.0,-1.7646036321528533,8.655600213356383,0.022313007879302682,1.0,2018-En-mystery-08192,Alonzo feels happy.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,happy
16,Alonzo feels ecstatic.,"[1.1883767559140832,-1.1883767559140832]",0.0,17,Alonzo feels ecstatic.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-15408,Alonzo feels ecstatic.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,ecstatic
17,Alonzo feels glad.,"[-1.1019328732801421,1.1019328732801421]",1.0,18,Alonzo feels glad.,"[8.655600213356383,11.344399786643615]",1.0,-1.1019328732801421,8.655600213356383,0.11673712290055907,1.0,2018-En-mystery-11830,Alonzo feels glad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,glad
18,Alonzo feels relieved.,"[1.1883767559140832,-1.1883767559140832]",0.0,19,Alonzo feels relieved.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-00476,Alonzo feels relieved.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,relieved
19,Alonzo feels excited.,"[-1.0935850365676507,1.0935850365676507]",1.0,20,Alonzo feels excited.,"[8.655600213356383,11.344399786643615]",1.0,-1.0935850365676507,8.655600213356383,0.11792660815151515,1.0,2018-En-mystery-13410,Alonzo feels excited.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,excited
20,Jamel feels angry.,"[1.7587616811561602,-1.7587616811561602]",0.0,21,Jamel feels angry.,"[8.655600213356383,11.344399786643615]",1.0,1.7587616811561602,8.655600213356383,0.5243581745798,1.0,2018-En-mystery-06289,Jamel feels angry.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,angry
21,Jamel feels furious.,"[1.1883767559140832,-1.1883767559140832]",0.0,22,Jamel feels furious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-15754,Jamel feels furious.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,furious
22,Jamel feels irritated.,"[1.1883767559140832,-1.1883767559140832]",0.0,23,Jamel feels irritated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-10289,Jamel feels irritated.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,irritated
23,Jamel feels enraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,24,Jamel feels enraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-02981,Jamel feels enraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,enraged
24,Jamel feels annoyed.,"[1.1883767559140832,-1.1883767559140832]",0.0,25,Jamel feels annoyed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-13756,Jamel feels annoyed.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,annoyed
25,Jamel feels sad.,"[2.769312516695048,-2.769312516695048]",0.0,26,Jamel feels sad.,"[8.655600213356383,11.344399786643615]",1.0,2.769312516695048,8.655600213356383,0.6683518049794168,1.0,2018-En-mystery-03038,Jamel feels sad.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,sad
26,Jamel feels depressed.,"[1.1883767559140832,-1.1883767559140832]",0.0,27,Jamel feels depressed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-12831,Jamel feels depressed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,depressed
27,Jamel feels devastated.,"[1.1883767559140832,-1.1883767559140832]",0.0,28,Jamel feels devastated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-08154,Jamel feels devastated.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,devastated
28,Jamel feels miserable.,"[2.1653904629836638,-2.1653904629836638]",0.0,29,Jamel feels miserable.,"[8.655600213356383,11.344399786643615]",1.0,2.1653904629836638,8.655600213356383,0.5822988070162598,1.0,2018-En-mystery-07050,Jamel feels miserable.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,miserable
29,Jamel feels disappointed.,"[3.852849456011905,-3.852849456011905]",0.0,30,Jamel feels disappointed.,"[8.655600213356383,11.344399786643615]",1.0,3.852849456011905,8.655600213356383,0.8227452427732935,1.0,2018-En-mystery-02185,Jamel feels disappointed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,disappointed
30,Jamel feels terrified.,"[1.1883767559140832,-1.1883767559140832]",0.0,31,Jamel feels terrified.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-06222,Jamel feels terrified.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,terrified
31,Jamel feels discouraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,32,Jamel feels discouraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-13009,Jamel feels discouraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,discouraged
32,Jamel feels scared.,"[1.1883767559140832,-1.1883767559140832]",0.0,33,Jamel feels scared.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-05709,Jamel feels scared.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,scared
33,Jamel feels anxious.,"[1.1883767559140832,-1.1883767559140832]",0.0,34,Jamel feels anxious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-10831,Jamel feels anxious.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,anxious
34,Jamel feels fearful.,"[3.134145762070725,-3.134145762070725]",0.0,35,Jamel feels fearful.,"[8.655600213356383,11.344399786643615]",1.0,3.134145762070725,8.655600213356383,0.7203369814244036,1.0,2018-En-mystery-08296,Jamel feels fearful.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,fearful
35,Jamel feels happy.,"[-1.7646036321528533,1.7646036321528533]",1.0,36,Jamel feels happy.,"[8.655600213356383,11.344399786643615]",1.0,-1.7646036321528533,8.655600213356383,0.022313007879302682,1.0,2018-En-mystery-09738,Jamel feels happy.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,happy
36,Jamel feels ecstatic.,"[1.1883767559140832,-1.1883767559140832]",0.0,37,Jamel feels ecstatic.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-08685,Jamel feels ecstatic.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,ecstatic
37,Jamel feels glad.,"[-1.1019328732801421,1.1019328732801421]",1.0,38,Jamel feels glad.,"[8.655600213356383,11.344399786643615]",1.0,-1.1019328732801421,8.655600213356383,0.11673712290055907,1.0,2018-En-mystery-15962,Jamel feels glad.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,glad
38,Jamel feels relieved.,"[1.1883767559140832,-1.1883767559140832]",0.0,39,Jamel feels relieved.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-13006,Jamel feels relieved.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,relieved
39,Jamel feels excited.,"[-1.0935850365676507,1.0935850365676507]",1.0,40,Jamel feels excited.,"[8.655600213356383,11.344399786643615]",1.0,-1.0935850365676507,8.655600213356383,0.11792660815151515,1.0,2018-En-mystery-04085,Jamel feels excited.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,excited
40,Alphonse feels angry.,"[1.7587616811561602,-1.7587616811561602]",0.0,41,Alphonse feels angry.,"[8.655600213356383,11.344399786643615]",1.0,1.7587616811561602,8.655600213356383,0.5243581745798,1.0,2018-En-mystery-06771,Alphonse feels angry.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,angry
41,Alphonse feels furious.,"[1.1883767559140832,-1.1883767559140832]",0.0,42,Alphonse feels furious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-02501,Alphonse feels furious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,furious
42,Alphonse feels irritated.,"[1.1883767559140832,-1.1883767559140832]",0.0,43,Alphonse feels irritated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-05958,Alphonse feels irritated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,irritated
43,Alphonse feels enraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,44,Alphonse feels enraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-13437,Alphonse feels enraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,enraged
44,Alphonse feels annoyed.,"[1.1883767559140832,-1.1883767559140832]",0.0,45,Alphonse feels annoyed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-06452,Alphonse feels annoyed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,annoyed
45,Alphonse feels sad.,"[2.769312516695048,-2.769312516695048]",0.0,46,Alphonse feels sad.,"[8.655600213356383,11.344399786643615]",1.0,2.769312516695048,8.655600213356383,0.6683518049794168,1.0,2018-En-mystery-01509,Alphonse feels sad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,sad
46,Alphonse feels depressed.,"[1.1883767559140832,-1.1883767559140832]",0.0,47,Alphonse feels depressed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-00265,Alphonse feels depressed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,depressed
47,Alphonse feels devastated.,"[1.1883767559140832,-1.1883767559140832]",0.0,48,Alphonse feels devastated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-15184,Alphonse feels devastated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,devastated
48,Alphonse feels miserable.,"[2.1653904629836638,-2.1653904629836638]",0.0,49,Alphonse feels miserable.,"[8.655600213356383,11.344399786643615]",1.0,2.1653904629836638,8.655600213356383,0.5822988070162598,1.0,2018-En-mystery-02002,Alphonse feels miserable.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,miserable
49,Alphonse feels disappointed.,"[3.852849456011905,-3.852849456011905]",0.0,50,Alphonse feels disappointed.,"[8.655600213356383,11.344399786643615]",1.0,3.852849456011905,8.655600213356383,0.8227452427732935,1.0,2018-En-mystery-06422,Alphonse feels disappointed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,disappointed
50,Alphonse feels terrified.,"[1.1883767559140832,-1.1883767559140832]",0.0,51,Alphonse feels terrified.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-06804,Alphonse feels terrified.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,terrified
51,Alphonse feels discouraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,52,Alphonse feels discouraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-00782,Alphonse feels discouraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,discouraged
52,Alphonse feels scared.,"[1.1883767559140832,-1.1883767559140832]",0.0,53,Alphonse feels scared.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-16636,Alphonse feels scared.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,scared
53,Alphonse feels anxious.,"[1.1883767559140832,-1.1883767559140832]",0.0,54,Alphonse feels anxious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-12859,Alphonse feels anxious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,anxious
54,Alphonse feels fearful.,"[3.134145762070725,-3.134145762070725]",0.0,55,Alphonse feels fearful.,"[8.655600213356383,11.344399786643615]",1.0,3.134145762070725,8.655600213356383,0.7203369814244036,1.0,2018-En-mystery-14476,Alphonse feels fearful.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,fearful
55,Alphonse feels happy.,"[-1.7646036321528533,1.7646036321528533]",1.0,56,Alphonse feels happy.,"[8.655600213356383,11.344399786643615]",1.0,-1.7646036321528533,8.655600213356383,0.022313007879302682,1.0,2018-En-mystery-14919,Alphonse feels happy.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,happy
56,Alphonse feels ecstatic.,"[1.1883767559140832,-1.1883767559140832]",0.0,57,Alphonse feels ecstatic.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-14651,Alphonse feels ecstatic.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,ecstatic
57,Alphonse feels glad.,"[-1.1019328732801421,1.1019328732801421]",1.0,58,Alphonse feels glad.,"[8.655600213356383,11.344399786643615]",1.0,-1.1019328732801421,8.655600213356383,0.11673712290055907,1.0,2018-En-mystery-14210,Alphonse feels glad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,glad
58,Alphonse feels relieved.,"[1.1883767559140832,-1.1883767559140832]",0.0,59,Alphonse feels relieved.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-03659,Alphonse feels relieved.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,relieved
59,Alphonse feels excited.,"[-1.0935850365676507,1.0935850365676507]",1.0,60,Alphonse feels excited.,"[8.655600213356383,11.344399786643615]",1.0,-1.0935850365676507,8.655600213356383,0.11792660815151515,1.0,2018-En-mystery-04342,Alphonse feels excited.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,excited
60,Jerome feels angry.,"[1.7587616811561602,-1.7587616811561602]",0.0,61,Jerome feels angry.,"[8.655600213356383,11.344399786643615]",1.0,1.7587616811561602,8.655600213356383,0.5243581745798,1.0,2018-En-mystery-12159,Jerome feels angry.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,angry
61,Jerome feels furious.,"[1.1883767559140832,-1.1883767559140832]",0.0,62,Jerome feels furious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-09145,Jerome feels furious.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,furious
62,Jerome feels irritated.,"[1.1883767559140832,-1.1883767559140832]",0.0,63,Jerome feels irritated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-05459,Jerome feels irritated.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,irritated
63,Jerome feels enraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,64,Jerome feels enraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-05720,Jerome feels enraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,enraged
64,Jerome feels annoyed.,"[1.1883767559140832,-1.1883767559140832]",0.0,65,Jerome feels annoyed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-14915,Jerome feels annoyed.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,annoyed
65,Jerome feels sad.,"[2.769312516695048,-2.769312516695048]",0.0,66,Jerome feels sad.,"[8.655600213356383,11.344399786643615]",1.0,2.769312516695048,8.655600213356383,0.6683518049794168,1.0,2018-En-mystery-03520,Jerome feels sad.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,sad
66,Jerome feels depressed.,"[1.1883767559140832,-1.1883767559140832]",0.0,67,Jerome feels depressed.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-05483,Jerome feels depressed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,depressed
67,Jerome feels devastated.,"[1.1883767559140832,-1.1883767559140832]",0.0,68,Jerome feels devastated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-10231,Jerome feels devastated.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,devastated
68,Jerome feels miserable.,"[2.1653904629836638,-2.1653904629836638]",0.0,69,Jerome feels miserable.,"[8.655600213356383,11.344399786643615]",1.0,2.1653904629836638,8.655600213356383,0.5822988070162598,1.0,2018-En-mystery-09302,Jerome feels miserable.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,miserable
69,Jerome feels disappointed.,"[3.852849456011905,-3.852849456011905]",0.0,70,Jerome feels disappointed.,"[8.655600213356383,11.344399786643615]",1.0,3.852849456011905,8.655600213356383,0.8227452427732935,1.0,2018-En-mystery-06655,Jerome feels disappointed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,disappointed
70,Jerome feels terrified.,"[1.1883767559140832,-1.1883767559140832]",0.0,71,Jerome feels terrified.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-14382,Jerome feels terrified.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,terrified
71,Jerome feels discouraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,72,Jerome feels discouraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-01814,Jerome feels discouraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,discouraged
72,Jerome feels scared.,"[1.1883767559140832,-1.1883767559140832]",0.0,73,Jerome feels scared.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-14469,Jerome feels scared.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,scared
73,Jerome feels anxious.,"[1.1883767559140832,-1.1883767559140832]",0.0,74,Jerome feels anxious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-15822,Jerome feels anxious.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,anxious
74,Jerome feels fearful.,"[3.134145762070725,-3.134145762070725]",0.0,75,Jerome feels fearful.,"[8.655600213356383,11.344399786643615]",1.0,3.134145762070725,8.655600213356383,0.7203369814244036,1.0,2018-En-mystery-16280,Jerome feels fearful.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,fearful
75,Jerome feels happy.,"[-1.7646036321528533,1.7646036321528533]",1.0,76,Jerome feels happy.,"[8.655600213356383,11.344399786643615]",1.0,-1.7646036321528533,8.655600213356383,0.022313007879302682,1.0,2018-En-mystery-04866,Jerome feels happy.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,happy
76,Jerome feels ecstatic.,"[1.1883767559140832,-1.1883767559140832]",0.0,77,Jerome feels ecstatic.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-07056,Jerome feels ecstatic.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,ecstatic
77,Jerome feels glad.,"[-1.1019328732801421,1.1019328732801421]",1.0,78,Jerome feels glad.,"[8.655600213356383,11.344399786643615]",1.0,-1.1019328732801421,8.655600213356383,0.11673712290055907,1.0,2018-En-mystery-08512,Jerome feels glad.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,glad
78,Jerome feels relieved.,"[1.1883767559140832,-1.1883767559140832]",0.0,79,Jerome feels relieved.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-01099,Jerome feels relieved.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,relieved
79,Jerome feels excited.,"[-1.0935850365676507,1.0935850365676507]",1.0,80,Jerome feels excited.,"[8.655600213356383,11.344399786643615]",1.0,-1.0935850365676507,8.655600213356383,0.11792660815151515,1.0,2018-En-mystery-16115,Jerome feels excited.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,excited
80,Leroy feels angry.,"[1.7587616811561602,-1.7587616811561602]",0.0,81,Leroy feels angry.,"[8.655600213356383,11.344399786643615]",1.0,1.7587616811561602,8.655600213356383,0.5243581745798,1.0,2018-En-mystery-06068,Leroy feels angry.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,angry
81,Leroy feels furious.,"[1.1883767559140832,-1.1883767559140832]",0.0,82,Leroy feels furious.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-13104,Leroy feels furious.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,furious
82,Leroy feels irritated.,"[1.1883767559140832,-1.1883767559140832]",0.0,83,Leroy feels irritated.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-11119,Leroy feels irritated.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,irritated
83,Leroy feels enraged.,"[1.1883767559140832,-1.1883767559140832]",0.0,84,Leroy feels enraged.,"[8.655600213356383,11.344399786643615]",1.0,1.1883767559140832,8.655600213356383,0.44308389007829563,1.0,2018-En-mystery-04977,Leroy feels enraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,enraged
